,TF,TG,score
187,CG43689,CG42629,0.50883
188,GATAe,CG33985,0.5088
189,CG30431,nimB3,0.50812
190,GATAe,CG13102,0.50741
191,lab,CG12699,0.50738
192,CG43689,bru-3,0.50736
193,GATAe,CG43896,0.50692
194,CG30431,CG13795,0.50663
195,HGTX,CG14739,0.50621
196,GATAe,CG13324,0.50614
197,tx,CG32170,0.50559
198,GATAe,CG32633,0.50524
199,retn,CG13251,0.50498
200,dmrt93B,TTLL3B,0.50472
201,CG30431,CG6385,0.50409
202,CG12071,tadr,0.50376
203,CG15269,CG32603,0.50336
204,sage,CG34290,0.50293
205,CG17385,ver,0.50283
206,sage,CG34280,0.50275
207,Cf2,yellow-d2,0.50199
208,GATAe,CG14300,0.50137
209,GATAe,Peritrophin-15b,0.50126
